Abdomen, Acute	C23.888.821.030.249
Diaper Rash	C17.800.174.255.400.250
Diarrhea	C23.888.821.214
Dientamoebiasis	C03.432.275
DiGeorge Syndrome	C14.280.400.044.500
Digestive System Diseases	C06
Digestive System Fistula	C23.300.575.185
Digestive System Neoplasms	C04.588.274
Dilatation, Pathologic	C23.300.325
Dipetalonema Infections	C03.335.508.700.750.361.275
Diphtheria	C01.252.410.040.246.388
Discitis	C01.539.160.762.301
Disease Attributes	C23.550.291
Disease	C23.550.288
Disease Progression	C23.550.291.656
Disease Susceptibility	G07.100.250
Dislocations	C26.289
Disorders of Excessive Somnolence	F03.870.400.800.200
Disseminated Intravascular Coagulation	C15.378.100.220
Dissociative Disorders	F03.300
Distal Myopathies	C10.668.491.175.500.074
Diurnal Enuresis	F01.145.126.856.249
Diverticulitis	C01.539.463.298
Diverticulitis, Colonic	C06.405.469.158.587.500
Diverticulosis, Colonic	C06.405.469.158.587
Diverticulum	C23.300.415
Dizziness	C23.888.592.763.237
DNA Virus Infections	C02.256
Down Syndrome	C10.597.606.643.220
Drinking Behavior	F01.145.317
Drug Hypersensitivity	C25.100.468
Drug Hypersensitivity Syndrome	C25.100.468.380.262
Drug-Induced Liver Injury	C25.723.260
Drug-Induced Liver Injury, Chronic	C25.723.260.200
Drug Overdose	E02.319.754.500
Drug-Related Side Effects and Adverse Reactions	C25.100
Drug-Seeking Behavior	F01.145.342
Dry Eye Syndromes	C11.496.260
Dry Socket	C07.465.227
Ductus Arteriosus, Patent	C14.280.400.340
Dumping Syndrome	C23.550.767.812.500
Duodenal Neoplasms	C04.588.274.476.411.445
Duodenal Ulcer	C06.405.469.275.800.348
Dupuytren Contracture	C17.300.270
Dwarfism	C19.297
Dwarfism, Pituitary	C10.228.140.617.738.300.300
Dysautonomia, Familial	C10.668.829.800.750.450.250
Dysentery, Amebic	C03.432.396
Dysentery, Bacillary	C01.252.400.310.229
Dysentery	C06.405.205.331
Dysgerminoma	C04.557.465.330.300
Dysgeusia	C23.888.592.763.861.479
Dyskeratosis Congenita	C16.320.322.108
Dyskinesia, Drug-Induced	C25.100.750
Dyskinesias	C23.888.592.350
Dyslexia	F03.550.450.400
Dyslipidemias	C18.452.584.500
Dysmenorrhea	C23.888.646.587.500
Dyspareunia	F03.800.800.199
Dyspepsia	C23.888.821.236
Dysphonia	C23.888.592.979.325
Dysplastic Nevus Syndrome	C16.320.700.305
Dyspnea	C23.888.852.371
Dyssomnias	F03.870.400
Dysthymic Disorder	F03.600.300.400
Dystocia	C13.703.420.288
Dystonia	C23.888.592.350.300
Dystonic Disorders	C10.228.662.300
Dysuria	C23.888.942.343.274
Ear Diseases	C09.218
Eating Disorders	F03.375
Ecchymosis	C23.550.414.625
Eclampsia	C13.703.395.124
Eczema	C17.800.815.620
Edema	C23.888.277
Edema, Cardiac	C23.888.277.197
Ehlers-Danlos Syndrome	C14.907.454.240
Eisenmenger Complex	C14.280.400.450
Elephantiasis	C15.604.496.320
Elephantiasis, Filarial	C15.604.496.490
Embolism and Thrombosis	C14.907.355
Embolism	C14.907.355.350
Embolism, Cholesterol	C14.907.355.350.454.500
Embolism, Paradoxical	C14.907.355.830.850.400
Emergencies	N06.850.376
Emphysema	C23.550.325
Empyema	C23.550.470.756.305
Empyema, Pleural	C01.539.739.484
Encephalitis	C10.228.228.245
Encephalitis, Herpes Simplex	C10.228.228.245.340.332
Encephalitis, Japanese	C10.228.228.245.340.310.280
Encephalitis, Tick-Borne	C10.228.228.245.340.310.500
Encephalomalacia	C10.228.140.461
Encephalomyelitis	C10.228.440
Encopresis	F01.145.126.837
Endocardial Cushion Defects	C14.280.400.560.350
Endocarditis, Bacterial	C14.260.249
Endocarditis	C14.280.282
Endocrine Gland Neoplasms	C19.344
Endocrine System Diseases	C19
Endodermal Sinus Tumor	C04.557.465.510.350
Endoleak	C23.550.767.850.500
Endometrial Hyperplasia	C13.351.500.852.228
Endometrial Neoplasms	C13.351.500.852.762.200
Endometrial Stromal Tumors	C13.351.500.852.762.200.500
Endometriosis	C13.351.500.163
Endometritis	C13.351.500.852.299
Endomyocardial Fibrosis	C14.280.238.406
Endophthalmitis	C11.294.265
Endotoxemia	C23.550.470.790.500.100.275
End Stage Liver Disease	C06.552.308.500.177
Enteritis	C06.405.205.462
Enterocolitis	C06.405.205.596
Enterocolitis, Necrotizing	C06.405.205.596.700
Enterocolitis, Pseudomembranous	C01.252.410.222.310
Enteropathy-Associated T-Cell Lymphoma	C20.683.515.761.480.750.199
Enterovirus Infections	C02.782.687.359
Enuresis	F01.145.126.856
Eosinophilia	C15.378.553.231
Eosinophilic Esophagitis	C20.543.480.356
Ependymoma	C04.557.580.625.600.380.290
Epidermodysplasia Verruciformis	C17.800.838.790.810.260
Epidermolysis Bullosa Acquisita	C17.800.865.410.080
Epidermolysis Bullosa	C17.800.865.410
Epidermolysis Bullosa Dystrophica	C17.800.865.410.160
Epidermolysis Bullosa Simplex	C17.800.865.410.180
Epilepsia Partialis Continua	C10.228.140.490.690.260
Epilepsies, Myoclonic	C10.228.140.490.250
Epilepsies, Partial	C10.228.140.490.360
Epilepsy, Absence	C10.228.140.490.375.260
Epilepsy	C10.228.140.490
Epilepsy, Complex Partial	C10.228.140.490.360.260
Epilepsy, Generalized	C10.228.140.490.375
Epilepsy, Partial, Motor	C10.228.140.490.360.272
Epilepsy, Post-Traumatic	C26.260.118.475
Epilepsy, Reflex	C10.228.140.490.450
Epilepsy, Rolandic	C10.228.140.490.360.280
Epilepsy, Temporal Lobe	C10.228.140.490.360.290
Epilepsy, Tonic-Clonic	C10.228.140.490.375.290
Epiretinal Membrane	C11.768.328
Epispadias	C12.777.767.374
Epistaxis	C23.550.414.712
Epstein-Barr Virus Infections	C02.256.466.313
Erdheim-Chester Disease	C15.604.250.410.224
Erectile Dysfunction	F03.800.800.400
Eructation	C23.888.821.297
Erysipelas	C17.800.838.765.260
Erythema	C17.800.229
Erythema Chronicum Migrans	C17.800.838.765.310
Erythema Multiforme	C17.800.865.475
Erythema Nodosum	C25.100.468.380.375
Erythroblastosis, Fetal	C13.703.277.060
Erythromelalgia	C14.907.617.500
Erythroplasia	C04.834.288
Escherichia coli Infections	C01.252.400.310.330
Esophageal Achalasia	C06.405.117.119.500.432
Esophageal and Gastric Varices	C06.405.117.240
Esophageal Atresia	C16.131.314.330
Esophageal Diseases	C06.405.117
Esophageal Motility Disorders	C06.405.117.119.500
Esophageal Neoplasms	C06.405.117.430
Esophageal Spasm, Diffuse	C06.405.117.119.500.450
Esophageal Stenosis	C06.405.117.544
Esophagitis	C06.405.117.620
Esophagitis, Peptic	C06.405.117.620.420
Esotropia	C10.292.562.887.300
Essential Tremor	C10.228.662.350
Esthesioneuroblastoma, Olfactory	C10.292.650.200
Eunuchism	C19.391.482.293
Euthyroid Sick Syndromes	C19.874.255
Exanthema	C17.800.257
Exfoliation Syndrome	C11.941.375.285
Exocrine Pancreatic Insufficiency	C06.689.276
Exotropia	C10.292.562.887.650
Exsanguination	C23.550.414.734
Extensively Drug-Resistant Tuberculosis	C01.252.410.040.552.846.775.500
Extravasation of Diagnostic and Therapeutic Materials	C23.550.340
Eye Abnormalities	C11.250
Eye Diseases	C11
Eye Diseases, Hereditary	C11.270
Eye Infections, Bacterial	C11.294.354
Eye Infections	C11.294
Eye Infections, Fungal	C11.294.450
Eye Injuries	C26.260.275.250
Eye Injuries, Penetrating	C26.986.450
Eye Neoplasms	C11.319
Fabry Disease	C14.907.253.329.374
Facial Nerve Diseases	C10.292.300
Facial Neuralgia	C10.292.375
Facial Pain	C23.888.646.429
Facial Paralysis	C23.888.592.636.214
Facies	E01.370.600.230
Factor VII Deficiency	C15.378.100.141.310
Factor X Deficiency	C15.378.100.141.320
Factor XIII Deficiency	C15.378.100.141.335
Failed Back Surgery Syndrome	C23.550.767.225
Failure to Thrive	C23.888.338
Fallopian Tube Neoplasms	C13.351.500.056.390.390
Familial Hypophosphatemic Rickets	C12.777.419.815.647.500
Familial Mediterranean Fever	C16.320.382.625
Fanconi Anemia	C15.378.071.085.080.280
Fanconi Syndrome	C12.777.419.815.450
Fasciculation	C23.888.592.608.250
Fasciitis	C05.321
Fasciitis, Necrotizing	C01.252.825.340
Fasciitis, Plantar	C05.360.350
Fatigue	C23.888.369
Fatigue Syndrome, Chronic	C10.228.440.600
Fatty Liver, Alcoholic	C25.775.100.087.645.390
Fatty Liver	C06.552.241
Febrile Neutropenia	C15.378.553.546.184.564.750
Fecal Incontinence	C06.405.469.860.300
Felty Syndrome	C20.111.199.389
Femoracetabular Impingement	C23.550.347
Femoral Fractures	C26.558.276
Femoral Neck Fractures	C26.558.276.425.500
Femur Head Necrosis	C23.550.717.732.368
Fetal Alcohol Spectrum Disorders	C25.775.100.087.323
Fetal Death	C23.550.260.585
Fetal Diseases	C13.703.277
Fetal Distress	C23.888.380
Fetal Growth Retardation	C23.550.393.450
Fetal Hypoxia	C23.888.852.079.594
Fetal Macrosomia	C23.888.144.186.500
Fetal Membranes, Premature Rupture	C13.703.420.339
Fever	C23.888.119.344
Fibroadenoma	C04.557.470.625.350
Fibrocystic Breast Disease	C17.800.090.750
Fibroma	C04.557.450.565.590.340
Fibromatosis, Aggressive	C04.557.450.565.590.340.410
Fibromyalgia	C10.668.491.425
Fibrosarcoma	C04.557.450.565.590.350
Fibrosis	C23.550.355
Fibrous Dysplasia of Bone	C05.116.099.708.375
Fibrous Dysplasia, Polyostotic	C05.116.099.708.375.381
Filariasis	C03.335.508.700.750.361
Finger Injuries	C26.448.429
Firesetting Behavior	F03.500.300
Fissure in Ano	C06.405.469.860.101.430
Fistula	C23.300.575
Flail Chest	C26.891.315
Flank Pain	C23.888.646.451
Flatulence	C23.888.821.360
Flaviviridae Infections	C02.782.350
Fluoride Poisoning	C25.723.380
Fluorosis, Dental	C07.793.330
Flushing	C23.888.388
Focal Infection	C01.539.392
Focal Infection, Dental	C01.539.392.433
Folic Acid Deficiency	C18.654.521.500.133.699.308
Folliculitis	C17.800.329.500
Food Hypersensitivity	C20.543.480.370
Foot-and-Mouth Disease	C22.380
Foot Deformities, Congenital	C16.131.621.585.380
Foot Dermatoses	C17.800.321.125
Foot Diseases	C17.800.321
Foot Ulcer	C17.800.893.592.450
Foramen Ovale, Patent	C14.240.400.560.375.258
Forearm Injuries	C26.088.268
Foreign Bodies	C26.392
Fournier Gangrene	C12.294.229
Fractures, Bone	C26.404
Fractures, Closed	C26.404.124
Fractures, Compression	C26.404.195
Fractures, Open	C26.404.311
Fractures, Spontaneous	C26.404.374
Fractures, Ununited	C26.404.468
Fragile X Syndrome	C10.597.606.643.455.500
Friedreich Ataxia	C10.228.140.252.700.150
Frontotemporal Dementia	F03.087.400.380.299
Frontotemporal Lobar Degeneration	F03.087.400.380
Fuchs' Endothelial Dystrophy	C11.270.162.438
Fucosidosis	C18.452.132.100.435.295
Fungemia	C23.550.470.790.500.360
Funnel Chest	C16.131.621.386
Furcation Defects	C07.465.714.204
Furunculosis	C22.362.224
Fusariosis	C17.800.838.208.416.500
Gait Disorders, Neurologic	C23.888.592.413
Galactosemias	C10.228.140.163.100.320
Gallbladder Diseases	C06.130.564
Gallbladder Neoplasms	C06.130.320.401
Gallstones	C23.300.175.525
Gambling	F03.500.400
Ganglioglioma	C04.557.580.625.600.380.350
Ganglion Cysts	C17.300.550.274
Ganglioneuroblastoma	C04.557.580.625.600.590.650.550.300
Ganglioneuroma	C04.557.580.625.600.355
Gangliosidoses	C18.452.132.100.435.825.300
Gangliosidoses, GM2	C18.452.132.100.435.825.300.300
Gangliosidosis, GM1	C18.452.132.100.435.825.300.400
Gangrene	C23.550.717.427
Gas Gangrene	C01.252.410.222.440
Gastric Antral Vascular Ectasia	C14.907.075.280
Gastric Outlet Obstruction	C06.405.748.340
Gastrinoma	C19.344.421.500.124
Gastritis, Atrophic	C06.405.205.697.394
Gastritis	C06.405.205.697
Gastritis, Hypertrophic	C06.405.205.697.410
Gastroenteritis	C06.405.205
Gastroesophageal Reflux	C06.405.117.119.500.484
Gastrointestinal Diseases	C06.405
Gastrointestinal Hemorrhage	C23.550.414.788
Gastrointestinal Neoplasms	C04.588.274.476
Gastrointestinal Stromal Tumors	C04.557.450.565.370
Gastroparesis	C23.888.592.636.263
Gastroschisis	C23.300.707.374.500
Gaucher Disease	C18.452.132.100.435.825.400
Genetic Diseases, Inborn	C16.320
Genetic Diseases, X-Linked	C16.320.322
Genital Diseases, Female	C13.351.500
Genital Diseases, Male	C12.294
Genital Neoplasms, Female	C13.351.937.418
Genital Neoplasms, Male	C12.294.260
Geographic Atrophy	C11.768.585.439.122
Germinoma	C04.557.465.330
Gestational Trophoblastic Disease	C13.703.720.949.416
Giant Cell Arteritis	C14.907.184.438
Giant Cell Tumor of Bone	C04.557.450.565.575.420
Giant Cell Tumors	C04.557.450.565.380
Giant Lymph Node Hyperplasia	C15.604.515.245
Gingival Diseases	C07.465.714.258
Gingival Hyperplasia	C07.465.714.258.428.250
Gingival Overgrowth	C07.465.714.258.428
Gingival Recession	C07.465.714.354.625
Gingivitis	C07.465.714.258.480
Gitelman Syndrome	C12.777.419.815.491
Glaucoma, Angle-Closure	C11.525.381.056
Glaucoma	C11.525.381
Glaucoma, Neovascular	C11.525.381.348
Glaucoma, Open-Angle	C11.525.381.407
Glioblastoma	C04.557.580.625.600.380.080.335
Glioma	C04.557.580.625.600.380
Glioma, Subependymal	C04.557.580.625.600.380.290.390
Gliosarcoma	C04.557.580.625.600.380.400
Glomerulonephritis	C13.351.968.419.570.363
Glomerulonephritis, IGA	C13.351.968.419.570.363.608
Glomerulonephritis, Membranoproliferative	C13.351.968.419.570.363.615
Glomerulonephritis, Membranous	C13.351.968.419.570.363.625
Glomerulosclerosis, Focal Segmental	C12.777.419.570.363.660
Glomus Tumor	C04.557.645.350
Glossitis, Benign Migratory	C07.465.910.363.447
Glucagonoma	C19.344.421.500.249
Glucose Intolerance	C18.452.394.952.500
Glucose Metabolism Disorders	C18.452.394
Glucosephosphate Dehydrogenase Deficiency	C15.378.071.141.150.480
Glycogen Storage Disease	C16.320.565.202.449
Glycogen Storage Disease Type II	C18.452.132.100.435.340
Glycogen Storage Disease Type IV	C16.320.565.202.449.540
Glycogen Storage Disease Type V	C16.320.565.202.449.560
Goiter	C19.874.283
Goiter, Nodular	C19.874.283.501
Gonadal Disorders	C19.391
Gonadal Dysgenesis	C13.351.875.253.309
Gonorrhea	C13.351.500.711.281.401
Gout	C16.320.565.798.368
Graft vs Host Disease	C20.452
Gram-Negative Bacterial Infections	C01.252.400
Gram-Positive Bacterial Infections	C01.252.410
Granular Cell Tumor	C04.557.450.590.350
Granuloma	C23.550.382
Granuloma, Giant Cell	C23.550.382.468
Granuloma, Laryngeal	C23.550.382.968.500
Granuloma, Plasma Cell	C23.550.382.875
Granulomatous Disease, Chronic	C20.673.774.535
Granulosa Cell Tumor	C13.351.500.056.630.705.398
Graves Disease	C11.675.349.500
Graves Ophthalmopathy	C11.270.842
Growth Disorders	C23.550.393
Growth Hormone-Secreting Pituitary Adenoma	C10.228.140.617.738.675.299
Guillain-Barre Syndrome	C10.668.829.800.750.300
Gynecomastia	C17.800.090.875
Hair Diseases	C17.800.329
Halitosis	C23.888.821.475
Hallucinations	F01.700.750.300
Hallux Limitus	C05.550.445
Hallux Rigidus	C05.550.450
Hallux Valgus	C05.330.610
Hamartoma	C04.445
Hamartoma Syndrome, Multiple	C16.320.700.435
Hand Deformities, Congenital	C16.131.621.585.425
Hand Dermatoses	C17.800.338
Hand, Foot and Mouth Disease	C02.782.687.359.213.331
Hand-Foot Syndrome	C25.100.468.380.587
Hand Injuries	C26.448
Hantavirus Infections	C02.782.147.420
Hantavirus Pulmonary Syndrome	C08.618.846.450
Hashimoto Disease	C19.874.871.102.500
Headache	C23.888.646.487
Headache Disorders	C10.228.140.546
Headache Disorders, Primary	C10.228.140.546.399
Headache Disorders, Secondary	C10.228.140.546.699
Head and Neck Neoplasms	C04.588.443
Head Injuries, Closed	C26.974.382
Hearing Disorders	C23.888.592.763.393
Hearing Loss	C23.888.592.763.393.341
Hearing Loss, Conductive	C23.888.592.763.393.341.562
Hearing Loss, Noise-Induced	C23.888.592.763.393.341.887.460
Hearing Loss, Sensorineural	C23.888.592.763.393.341.887
Hearing Loss, Sudden	C23.888.592.763.393.341.900
Heart Arrest	C14.280.383
Heart Block	C23.550.073.425
Heartburn	C23.888.821.525
Heart Defects, Congenital	C14.280.400
Heart Diseases	C14.280
Heart Failure	C14.280.434
Heart Failure, Diastolic	C14.280.434.611
Heart Failure, Systolic	C14.280.434.676
Heart Septal Defects, Atrial	C14.280.400.560.375
Heart Septal Defects	C14.280.400.560
Heart Septal Defects, Ventricular	C14.240.400.560.540
Heart Valve Diseases	C14.280.484
Heat Stress Disorders	C26.522
Heat Stroke	C26.522.500
Helicobacter Infections	C01.252.400.466
HELLP Syndrome	C13.703.395.186
Helminthiasis	C03.335
Hemangioblastoma	C04.557.645.375.380.370
Hemangioendothelioma	C04.557.645.375.370
Hemangioendothelioma, Epithelioid	C04.557.645.375.370.380
Hemangioma	C04.557.645.375
Hemangioma, Capillary	C04.557.645.375.380
Hemangioma, Cavernous	C14.907.454.385
Hemangioma, Cavernous, Central Nervous System	C14.907.454.385.500
Hemangiopericytoma	C04.557.645.380
Hemangiosarcoma	C04.557.645.390
Hemarthrosis	C23.550.414.794
Hematemesis	C23.550.414.788.400
Hematologic Diseases	C15.378
Hematologic Neoplasms	C15.378.400
Hematoma	C23.550.414.838
Hematoma, Subdural	C23.550.414.913.700
Hematoma, Subdural, Chronic	C23.550.414.913.700.200
Hematuria	C23.550.414.849
Hemifacial Spasm	C23.888.592.608.750.400
Hemiplegia	C23.888.592.636.312
Hemochromatosis	C16.320.565.618.337
Hemoglobin C Disease	C15.378.071.141.150.490
Hemoglobinopathies	C15.378.420
Hemoglobin SC Disease	C15.378.071.141.150.150.440
Hemoglobinuria	C23.888.942.750.634
Hemoglobinuria, Paroxysmal	C15.378.071.141.560
Hemolysis	G12.425.143.545
Hemolytic-Uremic Syndrome	C12.777.419.936.463
Hemophilia A	C15.378.100.141.500
Hemophilia B	C15.378.100.141.510
Hemopneumothorax	C23.550.414.904.500
Hemoptysis	C23.888.852.430
Hemorrhage	C23.550.414
Hemorrhagic Disorders	C15.378.463
Hemorrhagic Fever, Crimean	C02.081.885.430
Hemorrhagic Fever, Ebola	C02.782.580.250.400
Hemorrhagic Fevers, Viral	C02.782.417
Hemorrhagic Fever with Renal Syndrome	C02.782.417.450
Hemorrhoids	C14.907.449
Hemosiderosis	C18.452.565.500.500
Hemospermia	C12.294.293
Hemostatic Disorders	C14.907.454
Hemothorax	C23.550.414.904
Hepadnaviridae Infections	C02.256.430
Hepatic Encephalopathy	C10.228.140.163.360
Hepatic Insufficiency	C06.552.308
Hepatic Veno-Occlusive Disease	C14.907.460
Hepatitis A	C02.440.420
Hepatitis, Alcoholic	C25.775.100.087.645.490
Hepatitis, Autoimmune	C20.111.567
Hepatitis B	C02.256.430.400
Hepatitis B, Chronic	C02.256.430.400.100
Hepatitis	C06.552.380
Hepatitis C	C02.782.350.350
Hepatitis C, Chronic	C02.782.350.350.120
Hepatitis, Chronic	C06.552.380.350
Hepatitis D	C02.782.450
Hepatitis D, Chronic	C02.782.450.100
Hepatitis E	C02.782.455
Hepatoblastoma	C04.557.435.380
Hepatolenticular Degeneration	C10.228.662.400
Hepatomegaly	C23.300.775.525
Hepatopulmonary Syndrome	C08.381.385
Hepatorenal Syndrome	C12.777.419.291
Hereditary Angioedema Types I and II	C14.907.079.500.750
Hereditary Autoinflammatory Diseases	C17.800.827.368
Hereditary Breast and Ovarian Cancer Syndrome	C13.351.500.056.630.705.431
Hereditary Sensory and Autonomic Neuropathies	C10.668.829.800.750.450
Hereditary Sensory and Motor Neuropathy	C10.668.829.800.300
Hermanski-Pudlak Syndrome	C15.378.100.685.400
Hernia, Abdominal	C23.300.707.374
Hernia	C23.300.707
Hernia, Diaphragmatic	C23.300.707.500
Hernia, Femoral	C23.300.707.374.750
Hernia, Inguinal	C23.300.707.374.875
Hernia, Umbilical	C23.300.707.374.937.500
Hernia, Ventral	C23.300.707.374.937
Heroin Dependence	F03.900.675.400
Herpes Genitalis	C13.351.500.342
Herpes Labialis	C17.800.838.790.320.320
Herpes Simplex	C17.800.838.790.320
Herpesviridae Infections	C02.256.466
Herpes Zoster	C02.256.466.423
Herpes Zoster Ophthalmicus	C11.294.800.450
Hiccup	C23.888.821.578
Hidradenitis	C17.800.946.315
Hidradenitis Suppurativa	C17.800.946.315.320
Hip Dislocation, Congenital	C16.131.621.449
Hip Fractures	C26.558.276.425
Hip Injuries	C26.531
Hirschsprung Disease	C16.131.314.439
Hirsutism	C23.888.971.468
Histiocytic Sarcoma	C15.604.250.390.380
Histiocytoma, Benign Fibrous	C04.557.450.565.590.425.350
Histiocytoma	C04.557.450.565.590.425
Histiocytoma, Malignant Fibrous	C04.557.450.565.590.425.360
Histiocytosis	C15.604.250
Histiocytosis, Langerhans-Cell	C15.604.250.400
Histoplasmosis	C01.703.450
HIV-Associated Lipodystrophy Syndrome	C20.673.480.400
HIV Enteropathy	C20.673.480.480
HIV Infections	C20.673.480
HIV Seropositivity	C20.673.480.500
HIV Wasting Syndrome	C20.673.480.520
Hoarseness	C23.888.592.979.550
Hodgkin Disease	C15.604.515.569.355
Homocystinuria	C10.228.140.163.100.365
Hookworm Infections	C03.335.508.700.775.455
Hordeolum	C11.338.648
Horner Syndrome	C23.888.592.708.362.500
Hot Flashes	C23.888.475
HTLV-I Infections	C20.673.483.470
Humeral Fractures	C26.088.390
Huntington Disease	F03.087.400.390
Hutchinson's Melanotic Freckle	C04.557.665.510.385
Hyaline Membrane Disease	C16.614.521.563.475
Hydatidiform Mole	C13.703.720.949.416.875
Hydrocephalus	C10.228.140.631.450
Hydrocephalus, Normal Pressure	C10.228.140.602.559
Hydronephrosis	C12.777.419.307
Hydrothorax	C08.528.476
Hyperaldosteronism	C19.053.800.604
Hyperalgesia	C23.888.592.763.770.400
Hyperammonemia	C23.550.421
Hyperandrogenism	C13.351.875.253.064.500
Hyperbilirubinemia	C23.550.429
Hyperbilirubinemia, Neonatal	C23.550.429.249
Hypercalcemia	C18.452.174.451
Hypercalciuria	C23.888.942.337
Hypercapnia	C23.888.852.544
Hypercholesterolemia	C18.452.584.500.500.396
Hyperemesis Gravidarum	C23.888.821.937.049.500
Hyperemia	C14.907.474
Hypereosinophilic Syndrome	C15.378.553.231.549
Hyperglycemia	C18.452.394.952
Hyperhidrosis	C17.800.946.350
Hyperhomocysteinemia	C16.320.565.100.480
Hyper-IgM Immunodeficiency Syndrome	C20.673.430.249
Hyper-IgM Immunodeficiency Syndrome, Type 1	C16.320.322.237
Hyperinsulinism	C18.452.394.968
Hyperkalemia	C18.452.950.396
Hyperkinesis	C23.888.592.350.350
Hyperlipidemia, Familial Combined	C16.320.565.398.450
Hyperlipidemias	C18.452.584.500.500
Hyperlipoproteinemias	C18.452.584.500.500.644
Hyperlipoproteinemia Type I	C16.320.565.398.465
Hyperlipoproteinemia Type II	C16.320.565.398.481
Hyperlipoproteinemia Type III	C16.320.565.398.483
Hyperlipoproteinemia Type IV	C16.320.565.398.487
Hyperlipoproteinemia Type V	C16.320.565.398.493
Hypernatremia	C18.452.950.452
Hyperopia	C11.744.479
Hyperoxaluria, Primary	C13.351.968.419.313.500
Hyperoxia	C23.888.852.567
Hyperparathyroidism	C19.642.355
Hyperparathyroidism, Primary	C19.642.355.239
Hyperparathyroidism, Secondary	C19.642.355.480
Hyperphagia	C23.888.821.645
Hyperphosphatemia	C18.452.750.199
Hyperpigmentation	C17.800.621.430
Hyperplasia	C23.550.444
Hyperprolactinemia	C10.228.140.617.738.250.450
Hypersensitivity	C20.543
Hypersensitivity, Delayed	C20.543.418
Hypersensitivity, Immediate	C20.543.480
Hypersomnolence, Idiopathic	F03.870.400.800.200.400
Hypersplenism	C15.604.744.293
Hypertelorism	C16.131.621.207.231.480
Hypertension	C14.907.489
Hypertension, Portal	C06.552.494
Hypertension, Pregnancy-Induced	C14.907.489.480
Hypertension, Pulmonary	C08.381.423
Hypertension, Renal	C14.907.489.631
Hyperthyroidism	C19.874.397
Hypertrichosis	C17.800.329.875
Hypertriglyceridemia	C18.452.584.500.500.851
Hypertrophy	C23.300.775
Hypertrophy, Left Ventricular	C23.300.775.250.400
Hyperuricemia	C23.550.449
Hypoalbuminemia	C15.378.147.607.500
Hypoalphalipoproteinemias	C16.320.565.398.500.330
Hypobetalipoproteinemias	C16.320.565.398.500.440
Hypocalcemia	C18.452.174.509
Hypochondriasis	F03.875.450
Hypoglycemia	C18.452.394.984
Hypogonadism	C19.391.482
Hypokalemia	C18.452.950.565
Hypokalemic Periodic Paralysis	C10.668.491.650.450
Hypokinesia	C23.888.592.350.400
Hypolipoproteinemias	C16.320.565.398.500
Hyponatremia	C18.452.950.620
Hypoparathyroidism	C19.642.482
Hypopharyngeal Neoplasms	C07.550.745.436
Hypophosphatasia	C16.320.565.618.482
Hypophosphatemia	C18.452.750.400
Hypophosphatemia, Familial	C12.777.419.815.647
Hypopituitarism	C10.228.140.617.738.300
Hypoplastic Left Heart Syndrome	C14.280.400.625
Hypospadias	C13.351.875.466
Hypotension	C14.907.514
Hypotension, Orthostatic	C14.907.514.482
Hypothalamic Diseases	C10.228.140.617
Hypothermia	C23.888.119.565
Hypothyroidism	C19.874.482
Hypotrichosis	C17.800.329.937
Hypoventilation	C23.888.852.638
Hypovolemia	C23.550.455
Hypoxia, Brain	C10.228.140.624
Hypoxia-Ischemia, Brain	C10.228.140.624.500
Hysteria	F03.675.400.500
Ichthyosis	C17.800.428.333
Ichthyosis, Lamellar	C16.320.850.400.410
Idiopathic Interstitial Pneumonias	C08.381.483.487
Idiopathic Pulmonary Fibrosis	C08.381.483.487.500
Ileus	C06.405.469.531.492
Illness Behavior	F01.145.499
Immune Reconstitution Inflammatory Syndrome	C20.608
Immune System Diseases	C20
Immunoblastic Lymphadenopathy	C15.604.515.509
Immunologic Deficiency Syndromes	C20.673
Immunoproliferative Disorders	C20.683
Impetigo	C17.800.838.765.770.360
Implant Capsular Contracture	C23.550.470.251.500
Impulse Control Disorders	F03.500
Impulsive Behavior	F01.145.527
Inappropriate ADH Syndrome	C10.228.140.617.738.320
Infant, Newborn, Diseases	C16.614
Infant Nutrition Disorders	C18.654.422
Infant, Premature, Diseases	C16.614.521
Infarction, Anterior Cerebral Artery	C14.907.253.560.200.325
Infarction	C23.550.717.489
Infarction, Middle Cerebral Artery	C14.907.253.560.200.387
Infection	C01.539
Infectious Mononucleosis	C15.604.515.516
Infertility	C13.351.500.365
Infertility, Female	C13.351.500.365.700
Infertility, Male	C12.294.365.700
Inflammation	C23.550.470
Inflammatory Bowel Diseases	C06.405.205.731
Inflammatory Breast Neoplasms	C17.800.090.500.576
Influenza, Human	C08.730.310
Influenza in Birds	C22.131.728.450
Infratentorial Neoplasms	C10.551.240.250.400
Insect Bites and Stings	C25.723.127.071
Insulinoma	C19.344.421.249.500
Insulin Resistance	G07.690.320.617
Intellectual Disability	F03.550.600
Intermittent Claudication	C23.888.531
Intertrigo	C17.800.815.650
Intervertebral Disc Degeneration	C05.116.900.153
Intervertebral Disc Displacement	C23.300.707.952
Intestinal Diseases	C06.405.469
Intestinal Diseases, Parasitic	C03.432
Intestinal Fistula	C23.300.575.185.550
Intestinal Neoplasms	C04.588.274.476.411
Intestinal Obstruction	C06.405.469.531
Intestinal Perforation	C06.405.469.557
Intra-Abdominal Hypertension	C14.907.303.297
Intraabdominal Infections	C01.539.463
Intracranial Aneurysm	C14.907.055.635
Intracranial Arterial Diseases	C14.907.253.560
