uniprot_disease_accession	attribute	value
DI-00859	synonym	NSRD8.
DI-00859	keyword	KW-1010:Non-syndromic deafness.
DI-00859	MIM_id	 601072
DI-00859	acronym	DFNB8.
DI-00859	MedGen_id	 C1832827.
DI-00859	MeSH_id	 D006319.
DI-02691	canonical	Deafness, autosomal recessive, 84A.
DI-02691	definition	A form of non-syndromic deafness characterized by progressive, sensorineural hearing loss and vestibular dysfunction.
DI-02691	synonym	Deafness autosomal recessive 84.
DI-02691	synonym	Deafness autosomal recessive 84A with vestibular dysfunction.
DI-02691	synonym	Non-syndromic neurosensory deafness autosomal recessive type 84.
DI-02691	keyword	KW-1010:Non-syndromic deafness.
DI-02691	MIM_id	 613391
DI-02691	acronym	DFNB84A.
DI-02691	MedGen_id	 C3150654.
DI-02691	MeSH_id	 D006319.
DI-03565	canonical	Deafness, autosomal recessive, 84B.
DI-03565	definition	A form of non-syndromic deafness characterized by congenital, non- progressive, sensorineural, symmetric hearing loss. Vestibular hypofunction is rarely observed.
DI-03565	keyword	KW-1010:Non-syndromic deafness.
DI-03565	MIM_id	 614944
DI-03565	acronym	DFNB84B.
DI-03565	MedGen_id	 C3554159.
DI-03565	MedGen_id	 CN161006.
DI-03565	MeSH_id	 D006319.
DI-04026	canonical	Deafness, autosomal recessive, 86.
DI-04026	definition	A form of non-syndromic deafness characterized by prelingual onset of profound sensorineural hearing loss affecting all frequencies.
DI-04026	keyword	KW-1010:Non-syndromic deafness.
DI-04026	MIM_id	 614617
DI-04026	acronym	DFNB86.
DI-04026	MedGen_id	 CN124880.
DI-04026	MeSH_id	 D006319.
DI-03888	canonical	Deafness, autosomal recessive, 88.
DI-03888	definition	A form of non-syndromic deafness characterized by prelingual onset of severe to profound mixed conductive and sensorineural hearing loss.
DI-03888	keyword	KW-1010:Non-syndromic deafness.
DI-03888	MIM_id	 615429
DI-03888	acronym	DFNB88.
DI-03888	MedGen_id	 CN180160.
DI-03888	MeSH_id	 D046089.
DI-03865	canonical	Deafness, autosomal recessive, 89.
DI-03865	definition	A form of non-syndromic deafness characterized by bilateral, prelingual, moderate to severe hearing loss affecting all frequencies.
DI-03865	keyword	KW-1010:Non-syndromic deafness.
DI-03865	MIM_id	 613916
DI-03865	acronym	DFNB89.
DI-03865	MedGen_id	 C3151351.
DI-03865	MeSH_id	 D006319.
DI-00860	canonical	Deafness, autosomal recessive, 9.
DI-00860	definition	A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information.
DI-00860	synonym	Deafness neurosensory autosomal recessive 9.
DI-00860	synonym	Neurosensory nonsyndromic recessive deafness 9.
DI-00860	synonym	Non-syndromic neurosensory deafness autosomal recessive type 9.
DI-00860	synonym	Non-syndromic recessive hearing loss 9.
DI-00860	synonym	NSRD9.
DI-00860	keyword	KW-1010:Non-syndromic deafness.
DI-00860	MIM_id	 601071
DI-00860	acronym	DFNB9.
DI-00860	MedGen_id	 C1832828.
DI-00860	MeSH_id	 D006319.
DI-02706	canonical	Deafness, autosomal recessive, 91.
DI-02706	definition	A form of non-syndromic deafness characterized by progressive and age- dependent sensorineural hearing loss. Vestibular function is normal.
DI-02706	synonym	Non-syndromic neurosensory deafness autosomal recessive type 91.
DI-02706	keyword	KW-1010:Non-syndromic deafness.
DI-02706	MIM_id	 613453
DI-02706	acronym	DFNB91.
DI-02706	MedGen_id	 C3150704.
DI-02706	MeSH_id	 D006319.
DI-03553	canonical	Deafness, autosomal recessive, 93.
DI-03553	definition	A form of non-syndromic deafness characterized by stable, bilateral, symmetric, prelingual moderate to severe deafness. Hearing impairment is slightly more pronounced in the mid-frequencies, resulting in a distinctive shallow U-shaped audiogram.
DI-03553	synonym	Non-syndromic neurosensory deafness autosomal recessive type 93.
DI-03553	keyword	KW-1010:Non-syndromic deafness.
DI-03553	MIM_id	 614899
DI-03553	acronym	DFNB93.
DI-03553	MedGen_id	 CN159249.
DI-03553	MeSH_id	 D006319.
DI-03535	canonical	Deafness, autosomal recessive, 98.
DI-03535	definition	A form of non-syndromic sensorineural hearing loss with prelingual onset. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information.
DI-03535	keyword	KW-1010:Non-syndromic deafness.
DI-03535	MIM_id	 614861
DI-03535	acronym	DFNB98.
DI-03535	MedGen_id	 C3553932.
DI-03535	MedGen_id	 CN158714.
DI-03535	MeSH_id	 D006319.
DI-03930	canonical	Deafness, dystonia, and cerebral hypomyelination.
DI-03930	definition	An X-linked recessive mental retardation syndrome characterized by almost no psychomotor development, dysmorphic facial features, sensorineural deafness, dystonia, pyramidal signs, and hypomyelination on brain imaging.
DI-03930	keyword	KW-0209:Deafness.
DI-03930	keyword	KW-0991:Mental retardation.
DI-03930	keyword	KW-1023:Dystonia.
DI-03930	MIM_id	 300475
DI-03930	acronym	DDCH.
DI-03930	MedGen_id	 C1845408.
DI-03930	MeSH_id	 D004421.
DI-03930	MeSH_id	 D006319.
DI-03930	MeSH_id	 D008607.
DI-03992	canonical	Deafness, onychodystrophy, osteodystrophy, mental retardation, and seizures syndrome.
DI-03992	definition	A syndrome characterized by sensorineural deafness, mental retardation, hypoplastic or absent nails, small or absent distal phalanges of hands and feet. Additional features include coarse facies, a large nose with wide nasal bridge, bulbous tip and anteverted nares, a long prominent philtrum and downturned corners of the mouth. Progressive neurological manifestations include seizures from infancy, optic atrophy, and peripheral polyneuropathy.
DI-03992	synonym	Brachydactyly due to absence of distal phalanges.
DI-03992	synonym	Digitorenocerebral syndrome.
DI-03992	synonym	DOOR syndrome.
DI-03992	synonym	DRC syndrome.
DI-03992	synonym	Eronen syndrome.
DI-03992	keyword	KW-0209:Deafness.
DI-03992	keyword	KW-0887:Epilepsy.
DI-03992	keyword	KW-0991:Mental retardation.
DI-03992	MIM_id	 220500
DI-03992	acronym	DOORS.
DI-03992	MedGen_id	 C0795934.
DI-03992	MedGen_id	 C1857345.
DI-03992	MeSH_id	 D006319.
DI-03992	MeSH_id	 D008607.
DI-03992	MeSH_id	 D009260.
DI-03992	MeSH_id	 D012640.
DI-03992	MeSH_id	 D017880.
DI-03992	MeSH_id	 D019465.
DI-02887	canonical	Deafness, sensorineural, mitochondrial.
DI-02887	definition	A form of non-syndromic deafness with maternal inheritance. Affected individuals manifest progressive, postlingual, sensorineural hearing loss involving high frequencies.
DI-02887	keyword	KW-1010:Non-syndromic deafness.
DI-02887	MIM_id	 500008
DI-02887	acronym	DFNM.
DI-02887	MedGen_id	 C3151897.
DI-02887	MeSH_id	 D006319.
DI-01013	canonical	Deafness, sensorineural, with hypertrophic cardiomyopathy.
DI-01013	definition	An autosomal dominant sensorineural deafness associated with hypertrophic cardiomyopathy.
DI-01013	keyword	KW-0122:Cardiomyopathy.
DI-01013	keyword	KW-0209:Deafness.
DI-01013	MIM_id	 606346
DI-01013	acronym	DFNHCM.
DI-01013	MedGen_id	 C3149009.
DI-01013	MeSH_id	 D002312.
DI-01013	MeSH_id	 D006319.
DI-02690	canonical	Deafness, X-linked, 1.
DI-02690	definition	A form of deafness characterized by progressive, severe-to-profound sensorineural hearing loss in males. Females manifest mild to moderate hearing loss.
DI-02690	synonym	Congenital sensorineural deafness X-linked 2.
DI-02690	synonym	DFN2.
DI-02690	keyword	KW-1010:Non-syndromic deafness.
DI-02690	MIM_id	 304500
DI-02690	acronym	DFNX1.
DI-02690	MedGen_id	 C1844677.
DI-02690	MeSH_id	 D006319.
DI-02441	canonical	Deafness, X-linked, 2.
DI-02441	definition	A form of deafness characterized by both conductive hearing loss resulting from stapes (perilymphatic gusher) fixation, and progressive sensorineural deafness.
DI-02441	synonym	Deafness 3 conductive with stapes fixation.
DI-02441	synonym	Deafness conductive with stapes fixation.
DI-02441	synonym	Deafness mixed with perilymph Gusher X-linked.
DI-02441	synonym	Deafness mixed with perilymphatic gusher.
DI-02441	synonym	Deafness X-linked 2 with non-syndromic mental retardation.
DI-02441	synonym	DFN3.
DI-02441	synonym	Nance deafness.
DI-02441	synonym	Perilymphatic gusher-deafness syndrome.
DI-02441	synonym	X-linked mixed conductive and neurosensory deafness.
DI-02441	synonym	X-linked mixed conductive and sensorineural deafness.
DI-02441	keyword	KW-1010:Non-syndromic deafness.
DI-02441	MIM_id	 304400
DI-02441	acronym	DFNX2.
DI-02441	MedGen_id	 C2677850.
DI-02441	MeSH_id	 D046089.
DI-03162	canonical	Deafness, X-linked, 4.
DI-03162	definition	A non-syndromic form of sensorineural, progressive hearing loss with postlingual onset. In affected males, the auditory impairment affects initially high-frequency hearing. It later evolves to become severe to profound and affects all frequencies. Carrier females manifest moderate hearing impairment in the high frequencies.
DI-03162	synonym	Deafness nonsyndromic sensorineural progressive 6.
DI-03162	synonym	Deafness X-linked 6 progressive.
DI-03162	synonym	DFN6.
DI-03162	keyword	KW-1010:Non-syndromic deafness.
DI-03162	MIM_id	 300066
DI-03162	acronym	DFNX4.
DI-03162	MedGen_id	 C1848204.
DI-03162	MeSH_id	 D006319.
DI-04012	canonical	Deafness, X-linked, 6.
DI-04012	definition	A non-syndromic form of sensorineural hearing loss with prelingual onset. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information.
DI-04012	keyword	KW-1010:Non-syndromic deafness.
DI-04012	MIM_id	 300914
DI-04012	acronym	DFNX6.
DI-04012	MedGen_id	 C3806737.
DI-04012	MedGen_id	 CN184127.
DI-04012	MeSH_id	 D006319.
DI-01474	canonical	Deafness-infertility syndrome.
DI-01474	definition	Characterized by deafness and infertility and is caused by large contiguous gene deletions at 15q15.3 that removes both STRC and CATSPER2 genes.
DI-01474	synonym	Chromosome 15q15.3 deletion syndrome.
DI-01474	synonym	Deafness, sensorineural, and male infertility.
DI-01474	MIM_id	 611102
DI-01474	acronym	DIS.
DI-01474	MedGen_id	 C1970187.
DI-03801	canonical	Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema.
DI-03801	definition	An autosomal dominant hemolytic anemia characterized by primary erythrocyte dehydration. DHS erythrocytes exhibit decreased total cation and potassium content that are not accompanied by a proportional net gain of sodium and water. DHS patients typically exhibit mild to moderate compensated hemolytic anemia, with an increased erythrocyte mean corpuscular hemoglobin concentration and a decreased osmotic fragility, both of which reflect cellular dehydration. Patients may also show perinatal edema and pseudohyperkalemia due to loss of potassium from red cells stored at room temperature. A minor proportion of red cells appear as stomatocytes on blood films. Complications such as splenomegaly and cholelithiasis, resulting from increased red cell trapping in the spleen and elevated bilirubin levels, respectively, may occur. The course of DHS is frequently associated with iron overload, which may lead to hepatosiderosis.
DI-03801	synonym	Dehydrated hereditary stomatocytosis.
DI-03801	synonym	Familial pseudohyperkalemia 1 due to red cell leak.
DI-03801	synonym	Hereditary desiccytosis.
DI-03801	synonym	Hereditary xerocytosis.
DI-03801	synonym	Pseudohyperkalemia Edinburgh.
DI-03801	synonym	PSHK1.
DI-03801	keyword	KW-0360:Hereditary hemolytic anemia.
DI-03801	MIM_id	 194380
DI-03801	acronym	DHS.
DI-03801	MedGen_id	 C0272051.
DI-03801	MeSH_id	 D000745.
DI-00387	canonical	Dejerine-Sottas syndrome.
DI-00387	definition	A severe degenerating neuropathy of the demyelinating Charcot-Marie- Tooth disease category, with onset by age 2 years. Characterized by motor and sensory neuropathy with very slow nerve conduction velocities, increased cerebrospinal fluid protein concentrations, hypertrophic nerve changes, delayed age of walking as well as areflexia. There are both autosomal dominant and autosomal recessive forms of Dejerine-Sottas syndrome.
DI-00387	synonym	Charcot-Marie-Tooth disease demyelinating type 4F.
DI-00387	synonym	Charcot-Marie-Tooth disease type 3.
DI-00387	synonym	Charcot-Marie-Tooth disease type 4F.
DI-00387	synonym	Charcot-Marie-Tooth neuropathy type 4F.
DI-00387	synonym	CMT4F.
DI-00387	synonym	Hereditary motor and sensory neuropathy III.
DI-00387	synonym	HMSN III.
DI-00387	synonym	HMSN3.
DI-00387	synonym	Hypertrophic neuropathy of Dejerine-Sottas.
DI-00387	keyword	KW-0144:Charcot-Marie-Tooth disease.
DI-00387	keyword	KW-0213:Dejerine-Sottas syndrome.
DI-00387	keyword	KW-0523:Neurodegeneration.
DI-00387	MIM_id	 145900
DI-00387	acronym	DSS.
DI-00387	MedGen_id	 C0011195.
DI-00387	MedGen_id	 CN069172.
DI-00387	MedGen_id	 CN069174.
DI-00387	MeSH_id	 D015417.
DI-03211	canonical	Delayed sleep phase syndrome.
DI-03211	definition	A circadian rhythm sleep disorder characterized by sleep-onset insomnia and difficulty in awakening at the desired time. Patients with DSPS have chronic difficulty in adjusting their sleep-onset and wake-up times to occupational, school, and social activities.
DI-03211	MIM_id	 614163
DI-03211	acronym	DSPS.
DI-03211	MedGen_id	 C0393770.
DI-03211	MedGen_id	 C3279991.
DI-03211	MeSH_id	 D020178.
DI-01901	canonical	Dementia Lewy body.
DI-01901	definition	A neurodegenerative disorder characterized by mental impairment leading to dementia, parkinsonism, fluctuating cognitive function, visual hallucinations, falls, syncopal episodes, and sensitivity to neuroleptic medication. Brainstem or cortical intraneuronal accumulations of aggregated proteins (Lewy bodies) are the only essential pathologic features. Patients may also have hippocampal and neocortical senile plaques, sometimes in sufficient number to fulfill the diagnostic criteria for Alzheimer disease.
DI-01901	synonym	Cortical Lewy body disease.
DI-01901	synonym	Diffuse Lewy body disease.
DI-01901	synonym	Diffuse Lewy body disease with gaze palsy.
DI-01901	synonym	Dysphasic dementia hereditary.
DI-01901	synonym	Lewy body dementia.
DI-01901	synonym	Lewy body type senile dementia.
DI-01901	synonym	Lewy body variant of Alzheimer disease.
DI-01901	keyword	KW-0026:Alzheimer disease.
DI-01901	keyword	KW-0523:Neurodegeneration.
DI-01901	keyword	KW-0908:Parkinsonism.
DI-01901	MIM_id	 127750
DI-01901	acronym	DLB.
DI-01901	MedGen_id	 C0752347.
DI-01901	MedGen_id	 C1851957.
DI-01901	MedGen_id	 C1851958.
DI-01901	MeSH_id	 D020961.
DI-00386	canonical	Dent disease 2.
DI-00386	definition	A renal disease belonging to the 'Dent disease complex', a group of disorders characterized by proximal renal tubular defect, hypercalciuria, nephrocalcinosis, and renal insufficiency. The spectrum of phenotypic features is remarkably similar in the various disorders, except for differences in the severity of bone deformities and renal impairment. Characteristic abnormalities include low- molecular-weight proteinuria and other features of Fanconi syndrome, such as glycosuria, aminoaciduria, and phosphaturia, but typically do not include proximal renal tubular acidosis. Progressive renal failure is common, as are nephrocalcinosis and kidney stones.
DI-00386	MIM_id	 300555
DI-00386	acronym	DD2.
DI-00386	MedGen_id	 C1845167.
DI-00386	MeSH_id	 D015499.
DI-02717	canonical	Dental anomalies and short stature.
DI-02717	definition	A disorder characterized by hypoplastic amelogenesis imperfecta, significant short stature, brachyolmia-like anomalies including platyspondyly with short pedicles, narrow intervertebral and interpedicular distances, rectangular-shaped vertebrae with posterior scalloping and herniation of the nuclei, and broad femoral necks. Dental anomalies include widely spaced, small, yellow teeth, oligodontia, and severely reduced to absent enamel.
DI-02717	synonym	Brachyolmia-amelogenesis imperfecta syndrome.
DI-02717	synonym	Platyspondyly with amelogenesis imperfecta.
DI-02717	synonym	STHAG6.
DI-02717	synonym	Tooth agenesis, selective, 6.
DI-02717	synonym	Verloes Bourguignon syndrome.
DI-02717	keyword	KW-0242:Dwarfism.
DI-02717	keyword	KW-0986:Amelogenesis imperfecta.
DI-02717	MIM_id	 601216
DI-02717	acronym	DASS.
DI-02717	MedGen_id	 C1832594.
DI-02717	MeSH_id	 D000567.
DI-02717	MeSH_id	 D010009.
DI-01476	canonical	Dentatorubral-pallidoluysian atrophy.
DI-01476	definition	Autosomal dominant neurodegenerative disorder characterized by a loss of neurons in the dentate nucleus, rubrum, glogus pallidus and Luys'body. Clinical features are myoclonus epilepsy, dementia, and cerebellar ataxia. Onset of the disease occurs usually in the second decade of life and death in the fourth.
DI-01476	MIM_id	 125370
DI-01476	acronym	DRPLA.
DI-01476	MedGen_id	 C0751781.
DI-01476	MedGen_id	 C2931846.
DI-03347	canonical	Dentin dysplasia 1.
DI-03347	definition	A dental defect in which both primary and secondary dentitions are affected. The clinical crowns of both permanent and deciduous teeth are of normal shape, form and color in most cases, although they may be slightly opalescent and blue or brown. Teeth may be very mobile and exfoliate spontaneously because of inadequate root formation. On radiographs, the roots are short and may be more pointed than normal. Pulp chambers are usually absent except for a chevron-shaped remnant in the crown. Root canals are usually absent.
DI-03347	synonym	Dentin dysplasia Shields type I.
DI-03347	synonym	Radicular dentin dysplasia.
DI-03347	synonym	Rootless teeth.
DI-03347	MIM_id	 125400
DI-03347	acronym	DTDP1.
DI-03347	MedGen_id	 C0399379.
DI-03347	MeSH_id	 D003784.
DI-03347	MeSH_id	 D003805.
DI-03348	canonical	Dentin dysplasia 1, with extreme microdontia and misshapen teeth.
DI-03348	definition	A complex dental malformation characterized by extreme microdontia, oligodontia, dental shape anomalies affecting both primary and permanent teeth, double permanent-tooth formation, thin enamel, and very short roots with a thin associated alveolar bone, as seen in the spectrum of dentin dysplasia type 1.
DI-03348	synonym	Dentin dysplasia Shields type I.
DI-03348	synonym	Radicular dentin dysplasia.
DI-03348	synonym	Rootless teeth.
DI-03348	MIM_id	 125400
DI-03348	acronym	DTDP1-MMT.
DI-03348	MedGen_id	 C3276551.
DI-03348	MeSH_id	 D003805.
DI-01477	canonical	Dentin dysplasia 2.
DI-01477	definition	A dental defect in which the deciduous teeth are opalescent. The permanent teeth are of normal shape, form, and color in most cases. The root length is normal. On radiographs, the pulp chambers of permanent teeth are obliterated, have a thistle-tube deformity and contain pulp stones.
DI-01477	synonym	Anomalous dysplasia of dentin.
DI-01477	synonym	Coronal dentin dysplasia.
DI-01477	synonym	Dentin dysplasia Shields type II.
DI-01477	synonym	Pulp stones.
DI-01477	synonym	Pulpal dysplasia.
DI-01477	MIM_id	 125420
DI-01477	acronym	DTDP2.
DI-01477	MedGen_id	 C0399380.
DI-01477	MedGen_id	 C1527284.
DI-01477	MeSH_id	 D003784.
DI-01477	MeSH_id	 D003805.
DI-01479	canonical	Dentinogenesis imperfecta, Shields type 2.
DI-01479	definition	A form of dentinogenesis imperfecta, an autosomal dominant dentin disorder characterized by amber-brown, opalescent teeth that fracture and shed their enamel during mastication, thereby exposing the dentin to rapid wear. Radiographically, the crown appears bulbous and pulpal obliteration is common. The pulp chambers are initially larger than normal prior and immediately after tooth eruption, and then progressively close down to become almost obliterated by abnormal dentin formation. Roots are short and thin. Both primary and permanent teeth are affected. DGI2 is not associated with osteogenesis imperfecta.
DI-01479	synonym	Capdepont teeth.
DI-01479	synonym	Dentinogenesis imperfecta 1.
DI-01479	synonym	Dentinogenesis imperfecta Shields type II.
DI-01479	synonym	Dentinogenesis imperfecta without osteogenesis imperfecta.
DI-01479	synonym	DGI-II.
DI-01479	synonym	DGI1.
DI-01479	synonym	Non-syndromic dentinogenesis imperfecta.
DI-01479	synonym	Non-syndromic DGI.
DI-01479	synonym	Opalescent dentin.
DI-01479	synonym	Opalescent teeth without osteogenesis imperfecta.
DI-01479	MIM_id	 125490
DI-01479	acronym	DGI2.
DI-01479	MedGen_id	 C0205730.
DI-01479	MedGen_id	 C2973527.
DI-01479	MeSH_id	 D003811.
DI-01478	canonical	Dentinogenesis imperfecta, Shields type 3.
DI-01478	definition	A form of dentinogenesis imperfecta, an autosomal dominant dentin disorder characterized by amber-brown, opalescent teeth that fracture and shed their enamel during mastication, thereby exposing the dentin to rapid wear. Radiographically, the crown appears bulbous and pulpal obliteration is common. The pulp chambers are initially larger than normal prior and immediately after tooth eruption, and then progressively close down to become almost obliterated by abnormal dentin formation. Roots are short and thin. Both primary and permanent teeth are affected. DGI3 teeth typically manifest multiple periapical radiolucencies. DGI3 is not associated with osteogenesis imperfecta.
DI-01478	synonym	Brandywine type dentinogenesis imperfecta.
DI-01478	MIM_id	 125500
DI-01478	acronym	DGI3.
DI-01478	MedGen_id	 C0399378.
DI-01478	MeSH_id	 D003811.
DI-01480	canonical	Denys-Drash syndrome.
DI-01480	definition	Typical nephropathy characterized by diffuse mesangial sclerosis, genital abnormalities, and/or Wilms tumor. There is phenotypic overlap with WAGR syndrome and Frasier syndrome. Inheritance is autosomal dominant, but most cases are sporadic.
DI-01480	MIM_id	 194080
DI-01480	acronym	DDS.
DI-01480	MedGen_id	 C0950121.
DI-01194	canonical	Dermatitis atopic 2.
DI-01194	definition	Atopic dermatitis is a complex, inflammatory disease with multiple alleles at several loci thought to be involved in the pathogenesis. It commonly begins in infancy or early childhood and is characterized by a chronic relapsing form of skin inflammation, a disturbance of epidermal barrier function that culminates in dry skin, and IgE- mediated sensitization to food and environmental allergens. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee.
DI-01194	synonym	Atopic eczema.
DI-01194	MIM_id	 605803
DI-01194	acronym	ATOD2.
DI-01194	MedGen_id	 C1853965.
DI-01194	MeSH_id	 D003876.
DI-00388	canonical	Dermatopathia pigmentosa reticularis.
DI-00388	definition	A rare ectodermal dysplasia characterized by lifelong persistent reticulate hyperpigmentation, non-cicatricial alopecia, and nail dystrophy. Variable features include adermatoglyphia, hypohidrosis or hyperhidrosis, and palmoplantar hyperkeratosis.
DI-00388	keyword	KW-0038:Ectodermal dysplasia.
DI-00388	MIM_id	 125595
DI-00388	acronym	DPR.
DI-00388	MedGen_id	 C0406778.
DI-00388	MeSH_id	 D004476.
DI-02521	canonical	Desbuquois dysplasia 1.
DI-02521	definition	A chondrodysplasia characterized by severe prenatal and postnatal growth retardation (less than -5 SD), joint laxity, short extremities, progressive scoliosis, round face, midface hypoplasia, prominent bulging eyes. The main radiologic features are short long bones with metaphyseal splay, a 'Swedish key' appearance of the proximal femur (exaggerated trochanter), and advance carpal and tarsal bone age. Two forms of Desbuquois dysplasia are distinguished on the basis of the presence or absence of characteristic hand anomalies: an extra ossification center distal to the second metacarpal, delta phalanx, bifid distal thumb phalanx, and phalangeal dislocations.
DI-02521	synonym	Desbuquois syndrome.
DI-02521	synonym	Micromelic dwarfism with vertebral and metaphyseal abnormalities and advanced carpotarsal ossification.
DI-02521	keyword	KW-0242:Dwarfism.
DI-02521	MIM_id	 251450
DI-02521	acronym	DBQD1.
DI-02521	MedGen_id	 C0432242.
DI-02521	MedGen_id	 C3278482.
DI-02521	MeSH_id	 D004392.
DI-02521	MeSH_id	 D007593.
DI-02521	MeSH_id	 D019465.
DI-04114	canonical	Desbuquois dysplasia 2.
DI-04114	definition	A chondrodysplasia characterized by severe prenatal and postnatal growth retardation (less than -5 SD), joint laxity, short extremities, progressive scoliosis, round face, midface hypoplasia, prominent bulging eyes. The main radiologic features are short long bones with metaphyseal splay, a 'Swedish key' appearance of the proximal femur (exaggerated trochanter), and advance carpal and tarsal bone age. Two forms of Desbuquois dysplasia are distinguished on the basis of the presence or absence of characteristic hand anomalies: an extra ossification center distal to the second metacarpal, delta phalanx, bifid distal thumb phalanx, and phalangeal dislocations.
DI-04114	keyword	KW-0242:Dwarfism.
DI-04114	MIM_id	 615777
DI-04114	acronym	DBQD2.
DI-04114	MedGen_id	 CN186922.
DI-04114	MeSH_id	 D004392.
DI-04114	MeSH_id	 D007593.
DI-04114	MeSH_id	 D019465.
DI-01482	canonical	Desmosterolosis.
DI-01482	definition	Rare autosomal recessive disorder characterized by multiple congenital anomalies and elevated levels of the cholesterol precursor desmosterol in plasma, tissue, and cultured cells.
DI-01482	MIM_id	 602398
DI-01482	acronym	DESMOS.
DI-01482	MedGen_id	 C1865596.
DI-00390	canonical	Diabetes insipidus, nephrogenic, autosomal.
DI-00390	definition	A disorder caused by the inability of the renal collecting ducts to absorb water in response to arginine vasopressin. Characterized by excessive water drinking (polydipsia), excessive urine excretion (polyuria), persistent hypotonic urine, and hypokalemia. Inheritance can be autosomal dominant or recessive.
DI-00390	synonym	Diabetes insipidus nephrogenic type 2.
DI-00390	keyword	KW-0218:Diabetes insipidus.
DI-00390	MIM_id	 125800
DI-00390	acronym	ANDI.
DI-00390	MedGen_id	 C1563706.
DI-00390	MeSH_id	 D018500.
DI-00391	canonical	Diabetes insipidus, nephrogenic, X-linked.
DI-00391	definition	A disorder caused by the inability of the renal collecting ducts to absorb water in response to arginine vasopressin. Characterized by excessive water drinking (polydipsia), excessive urine excretion (polyuria), persistent hypotonic urine, and hypokalemia.
DI-00391	synonym	Diabetes insipidus nephrogenic type 1.
DI-00391	keyword	KW-0218:Diabetes insipidus.
DI-00391	MIM_id	 304800
DI-00391	acronym	XNDI.
DI-00391	MedGen_id	 C1563705.
DI-00391	MeSH_id	 D018500.
DI-01217	canonical	Diabetes insipidus, neurohypophyseal.
DI-01217	definition	A disease characterized by persistent thirst, polydipsia and polyuria. Affected individuals are apparently normal at birth, but characteristically develop symptoms of vasopressin deficiency during childhood.
DI-01217	synonym	CDI.
DI-01217	synonym	Diabetes insipidus cranial type.
DI-01217	synonym	Neurogenic diabetes insipidus.
DI-01217	synonym	Primary central diabetes insipidus.
DI-01217	keyword	KW-0218:Diabetes insipidus.
DI-01217	MIM_id	 125700
DI-01217	acronym	NDI.
DI-01217	MedGen_id	 C0687720.
DI-01217	MeSH_id	 D020790.
DI-01826	canonical	Diabetes mellitus, insulin-dependent.
DI-01826	definition	A multifactorial disorder of glucose homeostasis that is characterized by susceptibility to ketoacidosis in the absence of insulin therapy. Clinical features are polydipsia, polyphagia and polyuria which result from hyperglycemia-induced osmotic diuresis and secondary thirst. These derangements result in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
DI-01826	MIM_id	 222100
DI-01826	acronym	IDDM.
DI-01826	MedGen_id	 C0011854.
DI-01826	MeSH_id	 D003922.
DI-02776	canonical	Diabetes mellitus, insulin-dependent, 10.
DI-02776	definition	A multifactorial disorder of glucose homeostasis that is characterized by susceptibility to ketoacidosis in the absence of insulin therapy. Clinical features are polydipsia, polyphagia and polyuria which result from hyperglycemia-induced osmotic diuresis and secondary thirst. These derangements result in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
DI-02776	keyword	KW-0219:Diabetes mellitus.
DI-02776	MIM_id	 601942
DI-02776	acronym	IDDM10.
DI-02776	MedGen_id	 C1866040.
DI-02776	MeSH_id	 D003922.
DI-02777	canonical	Diabetes mellitus, insulin-dependent, 12.
DI-02777	definition	A multifactorial disorder of glucose homeostasis that is characterized by susceptibility to ketoacidosis in the absence of insulin therapy. Clinical features are polydipsia, polyphagia and polyuria which result from hyperglycemia-induced osmotic diuresis and secondary thirst. These derangements result in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
DI-02777	synonym	Insulin-dependent diabetes mellitus 12.
DI-02777	keyword	KW-0219:Diabetes mellitus.
DI-02777	MIM_id	 601388
DI-02777	acronym	IDDM12.
DI-02777	MedGen_id	 C1832392.
DI-02777	MeSH_id	 D003922.
DI-02778	canonical	Diabetes mellitus, insulin-dependent, 19.
DI-02778	definition	A multifactorial disorder of glucose homeostasis that is characterized by susceptibility to ketoacidosis in the absence of insulin therapy. Clinical features are polydipsia, polyphagia and polyuria which result from hyperglycemia-induced osmotic diuresis and secondary thirst. These derangements result in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
DI-02778	keyword	KW-0219:Diabetes mellitus.
DI-02778	MIM_id	 610155
DI-02778	acronym	IDDM19.
DI-02778	MedGen_id	 C1857808.
DI-02778	MeSH_id	 D003922.
DI-02788	canonical	Diabetes mellitus, insulin-dependent, 2.
DI-02788	definition	A multifactorial disorder of glucose homeostasis that is characterized by susceptibility to ketoacidosis in the absence of insulin therapy. Clinical features are polydipsia, polyphagia and polyuria which result from hyperglycemia-induced osmotic diuresis and secondary thirst. These derangements result in long-term complications that affect the eyes, kidneys, nerves, and blood vessels.
DI-02788	keyword	KW-0219:Diabetes mellitus.
